family;name;class;cap-diameter;cap-shape;cap-surface;cap-color;does-bruise-or-bleed;gill-attachment;gill-spacing;gill-color;stem-height;stem-width;stem-root;stem-surface;stem-color;veil-type;veil-color;has-ring;ring-type;spore-print-color;habitat;season
Psathyrellaceae;Coprinopsis variegata;[e];[0, 7.5];[o, b, f];[y];[w, g];[f];[e, a];[c];[g, k];[4, 12];[0, 10];;;[w];;;[t];[z];;[d];[u, a]
Panellus;Panellus stipticus;[p];[1, 3];[x];[w, i];[b, n];[f];[a];[c];y, n];[0, .1];[0, 5];[e];[i];[b, n];[p];[f];[f];[f];[w];[d];[s, u, a]
Boletaceae;Boletellus chrysenteroides;[e];[2, 10];[x];[s, d, e];[n, k];[t];[p];[f];[f];[2, 3];[0, 15];;;[y, n, u];;;[f];[f];;[d];[u, a]
Boletaceae;Boletellus pseudochrysenteroides;[p];[3, 10];[x];[y, i, d, e];[e, n];[t];[p];[f];[f];[6, 10];[10, 20];;;[y, e];;;[f];[f];;[d];[u, a]
Boletaceae;Boletellus russellii;[e];[3, 13];[x];[s];[y, e, n];[f];[p];[f];[f];[10, 20];[10, 20];;;[e, n];;;[f];[f];;[d];[u, a]
Boletaceae;Boletus atkinsonii;[e];[4, 20];[x];[s, d, e];[n, y];[f];[p];[f];[f];[5, 12];[10, 30];;;[w, n];;;[f];[f];;[d];[u, a]
Boletaceae;Boletus auripes;[e];[6, 20];[x];[s, d, e];[y, n];[f];[p];[f];[f];[5, 12];[0, 30];;;[y];;;[f];[f];;[d];[u, a]
Boletaceae;Boletus bicolor;[e];[5, 15];[x];[s, d, l];[e, p];[t];[p];[f];[f];[5, 10];[10, 30];;;[y];;;[f];[f];;[d];[u, a]
Boletaceae;Hortiboletus campestris;[e];[2, 4];[x];[s, d];[e];[t];[p];[f];[f];[3, 7];[5, 10];;;[y];;;[f];[f];;[d, g, u];[u, a]
Boletaceae;Boletus curtisii;[e];[3, 9.5];[x];[t, s, e];[y];[f];[p];[f];[f];[6, 12];[6, 13];;;[y];;;[f];[f];;[d];[u, a]
Boletaceae;Boletus variipes;[e];[6, 20];[x];[s, d, e];[b, n, g];[f];[p];[f];[f];[8, 15];[10, 35];;;[w, g];;;[f];[f];;[d];[u, a]
Suillaceae;Suillus americanus;[e];[3, 10];[x, o];[t];[y, n];[t];[p];[f];[f];[3, 10];[0, 10];;;[n];;;[f];[f];;[d];[u, a]
